date,open,high,low,close,volume,key,ticker,market,label
2024-01-25,209171.57903079712,209171.57903079712,201806.38258605075,203279.421875,141277,LGIT,011070.KS,KR,LG이노텍
2024-01-26,201806.3783203125,201806.3783203125,194539.3846484375,196405.234375,326771,LGIT,011070.KS,KR,LG이노텍
2024-01-29,196405.2267002519,197387.25283375315,194539.3770465995,194932.1875,188988,LGIT,011070.KS,KR,LG이노텍
2024-01-30,195226.796875,197387.2543856892,194539.3785761444,195226.796875,175217,LGIT,011070.KS,KR,LG이노텍
2024-01-31,193262.7357329843,195816.0035831152,186977.76871727747,187566.984375,233747,LGIT,011070.KS,KR,LG이노텍
2024-02-01,187075.9809972784,190120.2620528772,185602.94177682736,189432.84375,144538,LGIT,011070.KS,KR,LG이노텍
2024-02-02,189138.22316729324,196405.2161654136,188745.4127349624,195914.203125,151375,LGIT,011070.KS,KR,LG이노텍
2024-02-05,196110.62691941625,197387.26094543148,192280.72484137057,193459.15625,118260,LGIT,011070.KS,KR,LG이노텍
2024-02-06,194048.3609146033,196307.02098597767,193262.74002021225,194342.96875,87726,LGIT,011070.KS,KR,LG이노텍
2024-02-07,195914.20826839152,199351.2996415212,195717.8030470698,196896.234375,88894,LGIT,011070.KS,KR,LG이노텍
2024-02-08,198860.2834620435,199842.3095532141,196307.015625,196307.015625,113649,LGIT,011070.KS,KR,LG이노텍
2024-02-13,197878.2630597015,198860.2891791045,196405.223880597,197387.25,93703,LGIT,011070.KS,KR,LG이노텍
2024-02-14,194244.76408227847,194342.966693038,191298.68575949367,193950.15625,100736,LGIT,011070.KS,KR,LG이노텍
2024-02-15,195717.8173782844,195717.8173782844,190218.4707785935,190611.28125,159118,LGIT,011070.KS,KR,LG이노텍
2024-02-16,191495.11038358093,192869.9470735144,190513.0841764857,191691.515625,111705,LGIT,011070.KS,KR,LG이노텍
2024-02-19,191396.8931838536,192477.12192937563,190611.27227801943,191887.90625,74414,LGIT,011070.KS,KR,LG이노텍
2024-02-20,192575.31867714145,195717.8022047644,191887.9004054739,193753.75,125004,LGIT,011070.KS,KR,LG이노텍
2024-02-21,195423.2028155941,202788.3989016089,195226.79758663368,198369.28125,206416,LGIT,011070.KS,KR,LG이노텍
